performance_id,candidate_id,edition_id,round_id,program_label,performance_status,source_url,notes
35,6,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/yanjun-chen,candidate_page_listing_status_by_reached_round
36,6,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/yanjun-chen,candidate_page_listing_status_by_reached_round
37,7,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jiarui-cheng,candidate_page_listing_status_by_reached_round
38,7,1,2,Quarterfinal Round,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jiarui-cheng,candidate_page_listing_status_by_reached_round
39,7,1,3,Semifinal Round - Recital,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jiarui-cheng,candidate_page_listing_status_by_reached_round
40,7,1,4,Semifinal Round - Mozart Concerto,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jiarui-cheng,candidate_page_listing_status_by_reached_round
41,7,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jiarui-cheng,candidate_page_listing_status_by_reached_round
42,7,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/jiarui-cheng,candidate_page_listing_status_by_reached_round
43,8,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/federico-gad-crema,candidate_page_listing_status_by_reached_round
44,8,1,2,Quarterfinal Round,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/federico-gad-crema,candidate_page_listing_status_by_reached_round
45,8,1,3,Semifinal Round - Recital,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/federico-gad-crema,candidate_page_listing_status_by_reached_round
46,8,1,4,Semifinal Round - Mozart Concerto,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/federico-gad-crema,candidate_page_listing_status_by_reached_round
47,8,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/federico-gad-crema,candidate_page_listing_status_by_reached_round
48,8,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/federico-gad-crema,candidate_page_listing_status_by_reached_round
49,9,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/shangru-du,candidate_page_listing_status_by_reached_round
50,9,1,2,Quarterfinal Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/shangru-du,candidate_page_listing_status_by_reached_round
51,9,1,3,Semifinal Round - Recital,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/shangru-du,candidate_page_listing_status_by_reached_round
52,9,1,4,Semifinal Round - Mozart Concerto,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/shangru-du,candidate_page_listing_status_by_reached_round
53,9,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/shangru-du,candidate_page_listing_status_by_reached_round
54,9,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/shangru-du,candidate_page_listing_status_by_reached_round
55,10,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/roman-fediurko,candidate_page_listing_status_by_reached_round
56,10,1,2,Quarterfinal Round,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/roman-fediurko,candidate_page_listing_status_by_reached_round
57,10,1,3,Semifinal Round - Recital,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/roman-fediurko,candidate_page_listing_status_by_reached_round
58,10,1,4,Semifinal Round - Mozart Concerto,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/roman-fediurko,candidate_page_listing_status_by_reached_round
59,10,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/roman-fediurko,candidate_page_listing_status_by_reached_round
60,10,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/roman-fediurko,candidate_page_listing_status_by_reached_round
61,11,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/magdalene-ho,candidate_page_listing_status_by_reached_round
62,11,1,2,Quarterfinal Round,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/magdalene-ho,candidate_page_listing_status_by_reached_round
63,11,1,3,Semifinal Round - Recital,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/magdalene-ho,candidate_page_listing_status_by_reached_round
64,11,1,4,Semifinal Round - Mozart Concerto,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/magdalene-ho,candidate_page_listing_status_by_reached_round
65,11,1,5,Final Round - Concerto 1,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/magdalene-ho,candidate_page_listing_status_by_reached_round
66,11,1,6,Final Round - Concerto 2,planned,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/magdalene-ho,candidate_page_listing_status_by_reached_round
67,12,1,1,Preliminary Round,performed,https://cliburn.org/competitions/2025-cliburn-competition/2025-competitors/carter-johnson,candidate_page_listing_status_by_reached_round
